iso_code,continent,location,172020,country code,31122020,3152021
AFG,Asia,Afghanistan,31826,004,51526,71838
ALB,Europe,Albania,2580,008,58316,132315
DZA,Africa,Algeria,14272,012,99610,128913
AND,Europe,Andorra,855,020,8049,13727
AGO,Africa,Angola,291,024,17553,34551
ATG,North America,Antigua and Barbuda,69,028,159,1260
ARG,South America,Argentina,67197,032,1625514,3781784
ARM,Asia,Armenia,26065,051,159409,222670
AUS,Oceania,Australia,8001,036,28425,30118
AUT,Europe,Austria,17873,040,360815,644815
AZE,Asia,Azerbaijan,18112,031,218700,333956
BHS,North America,Bahamas,104,044,7871,11796
BHR,Asia,Bahrain,27414,048,92675,240531
BGD,Asia,Bangladesh,149258,050,513510,800540
BRB,North America,Barbados,97,052,383,4017
BLR,Europe,Belarus,62424,112,194284,394439
BEL,Europe,Belgium,61509,056,646496,1062001
BLZ,North America,Belize,28,084,10776,12809
BEN,Africa,Benin,1199,204,3251,8058
BTN,Asia,Bhutan,77,064,670,1620
BOL,South America,Bolivia,34227,068,160124,371279
BIH,Europe,Bosnia and Herzegovina,4606,070,110985,204012
BWA,Africa,Botswana,227,072,14805,54973
BRA,South America,Brazil,1448753,076,7675973,16545554
BRN,Asia,Brunei,141,096,157,242
BGR,Europe,Bulgaria,5154,100,202266,418577
BFA,Africa,Burkina Faso,962,854,6707,13434
BDI,Africa,Burundi,170,108,818,4790
KHM,Asia,Cambodia,141,116,378,30094
CMR,Africa,Cameroon,12592,120,26277,78929
CAN,North America,Canada,106288,124,584409,1389328
CPV,Africa,Cape Verde,1267,132,11840,30439
CAF,Africa,Central African Republic,3745,140,4963,7091
TCD,Africa,Chad,866,148,2113,4931
CHL,South America,Chile,282043,152,608973,1384346
CHN,Asia,China,83583,156,87117,91173
COL,South America,Colombia,102009,170,1642775,3406456
COM,Africa,Comoros,303,174,823,3881
COG,Africa,Congo,1382,178,7107,11658
CRI,North America,Costa Rica,3753,188,169321,318986
CIV,Africa,Cote d'Ivoire,9702,384,22490,47292
HRV,Europe,Croatia,2831,191,210837,356181
CUB,North America,Cuba,2348,192,11863,142266
CYP,Europe,Cyprus,999,196,22019,72457
CZE,Europe,Czechia,12046,203,718661,1661272
COD,Africa,Democratic Republic of Congo,7122,243,17658,31651
DNK,Europe,Denmark,12994,208,164116,281985
DJI,Africa,Djibouti,4704,262,5831,11533
DMA,North America,Dominica,18,212,88,188
DOM,North America,Dominican Republic,33387,214,170785,292786
ECU,South America,Ecuador,58257,218,212512,426037
EGY,Africa,Egypt,69814,818,138062,262650
SLV,North America,El Salvador,6736,222,46242,73702
GNQ,Africa,Equatorial Guinea,2001,226,5277,8529
ERI,Africa,Eritrea,203,232,1320,4094
EST,Europe,Estonia,1989,233,27990,129544
SWZ,Africa,Eswatini,840,268,9358,18595
ETH,Africa,Ethiopia,5846,231,124264,271541
FJI,Oceania,Fiji,18,679,49,438
FIN,Europe,Finland,7236,358,36107,92488
FRA,Europe,France,205234,250,2677666,5728788
GAB,Africa,Gabon,5513,266,9571,24429
GMB,Africa,Gambia,49,270,3797,5993
GEO,Asia,Georgia,931,995,227420,343963
DEU,Europe,Germany,195893,276,1760520,3689921
GHA,Africa,Ghana,18134,288,54771,93898
GRC,Europe,Greece,3432,300,138850,402306
GRD,North America,Grenada,23,308,127,161
GTM,North America,Guatemala,19011,320,138012,254417
GIN,Africa,Guinea,5404,324,13722,23177
